02.03.2020 17:32:31: 0h 32min | Donnie Turbo(76561198041233395) | Revive - civ_2()
02.03.2020 17:32:36: 0h 32min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198180893505)
02.03.2020 17:33:08: 0h 32min | Donnie Turbo(76561198041233395) | Teleport to [5547.43,4329.2,0](GPS: 055012)
02.03.2020 17:33:18: 0h 32min | Donnie Turbo(76561198041233395) | Teleport to [5551.71,4329.03,0](GPS: 055012)
02.03.2020 17:44:50: 0h 44min | Donnie Turbo(76561198041233395) | Teleport to [3650.83,3228.09,0](GPS: 036001)
02.03.2020 18:02:34: 1h 2min | Donnie Turbo(76561198041233395) | Unrestrain - civ_1(76561198137223112)
02.03.2020 19:52:02: 2h 51min | Donnie Turbo(76561198041233395) | HealRepairNear
02.03.2020 19:52:02: 2h 51min | Donnie Turbo(76561198041233395) | HealRepairNear
02.03.2020 19:52:44: 2h 52min | Donnie Turbo(76561198041233395) | HealRepairNear
02.03.2020 19:55:45: 2h 55min | Donnie Turbo(76561198041233395) | God Mode - 1
02.03.2020 19:56:44: 2h 56min | Donnie Turbo(76561198041233395) | Teleport to [6808.44,2484.29,0](GPS: 068994)
02.03.2020 20:09:35: 3h 9min | K-12 J. Shepard(76561198043298972) | spawning Ford Mustang Unmarked (MkV) '13 (d3s_boss_13_UNM)
02.03.2020 20:09:39: 3h 9min | K-12 J. Shepard(76561198043298972) | locked - [d3s_boss_13_UNM]
02.03.2020 20:17:21: 3h 17min | K-12 J. Shepard(76561198043298972) | Deleting d3s_boss_13_UNM @035010..
02.03.2020 20:34:00: 3h 33min | Donnie Turbo(76561198041233395) | unlocked - [d3s_g500_18_EMS]
02.03.2020 20:34:06: 3h 33min | Donnie Turbo(76561198041233395) | locked - [d3s_g500_18_EMS]
02.03.2020 20:35:09: 3h 34min | Donnie Turbo(76561198041233395) | unlocked - [d3s_g500_18_EMS]
02.03.2020 20:35:13: 3h 34min | Donnie Turbo(76561198041233395) | locked - [d3s_g500_18_EMS]
02.03.2020 20:40:27: 3h 40min | Donnie Turbo(76561198041233395) | Teleport to [3721.87,3373.38,0](GPS: 037003)
02.03.2020 20:50:22: 3h 50min | Donnie Turbo(76561198041233395) | locked - [d3s_g500_18_EMS]
02.03.2020 21:37:53: 4h 37min | Donnie Turbo(76561198041233395) | unlocked - [DELTA_Kennworth_T660_11]
02.03.2020 21:40:54: 4h 40min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198206026112)
02.03.2020 22:12:46: 5h 12min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
02.03.2020 22:12:50: 5h 12min | Donnie Turbo(76561198041233395) | noRecoil - 1
02.03.2020 22:47:52: 5h 47min | Donnie Turbo(76561198041233395) | unlocked - [d3s_senna_18]
02.03.2020 22:47:55: 5h 47min | Donnie Turbo(76561198041233395) | locked - [d3s_senna_18]
02.03.2020 22:48:02: 5h 47min | Donnie Turbo(76561198041233395) | HealRepairNear
02.03.2020 22:48:02: 5h 47min | Donnie Turbo(76561198041233395) | HealRepairNear
02.03.2020 22:48:21: 5h 48min | Donnie Turbo(76561198041233395) | unlocked - [d3s_senna_18]
02.03.2020 22:48:31: 5h 48min | Donnie Turbo(76561198041233395) | locked - [d3s_senna_18]
02.03.2020 23:00:52: 6h 0min | Donnie Turbo(76561198041233395) | God Mode - 1
02.03.2020 23:00:54: 6h 0min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
02.03.2020 23:00:56: 6h 0min | Donnie Turbo(76561198041233395) | noRecoil - 1
