03.03.2020 00:10:31: 0h 4min | Wyclef(76561198038112694) | Teleport to [3607.18,3992.69,0](GPS: 036009)
03.03.2020 00:10:50: 0h 4min | Wyclef(76561198038112694) | Added 2 zipties to Wyclef!
03.03.2020 01:03:45: 0h 5min | Wyclef(76561198038112694) | Added 12 zipties to Wyclef!
03.03.2020 01:07:27: 0h 9min | Wyclef(76561198038112694) | HealRepairNear
03.03.2020 01:08:13: 0h 10min | Wyclef(76561198038112694) | Teleport to [3404.47,4176.6,0](GPS: 034011)
03.03.2020 01:22:53: 0h 4min | Wyclef(76561198038112694) | spawning Vest (Press) (AAN) (V_Press_AAN_F)
03.03.2020 01:23:03: 0h 4min | Wyclef(76561198038112694) | Deleting WeaponHolderSimulated @034010..
03.03.2020 01:23:37: 0h 5min | Wyclef(76561198038112694) | Added 123 zipties to Wyclef!
03.03.2020 01:24:21: 0h 6min | Wyclef(76561198038112694) | Teleport to [3812.45,3240.44,0](GPS: 038001)
03.03.2020 16:07:20: 4h 7min | Nino Marino(76561198206026112) | Teleport to [3417.35,4218.78,0](GPS: 034011)
03.03.2020 16:53:28: 4h 53min | Nino Marino(76561198206026112) | Revive - civ_1(76561198206026112)
03.03.2020 16:53:35: 4h 53min | Nino Marino(76561198206026112) | Heal - civ_1(76561198206026112)
03.03.2020 16:57:20: 4h 57min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
03.03.2020 16:57:22: 4h 57min | Donnie Turbo(76561198041233395) | noRecoil - 1
03.03.2020 16:57:38: 4h 57min | Donnie Turbo(76561198041233395) | DayTime
03.03.2020 16:59:20: 4h 59min | Nino Marino(76561198206026112) | God Mode - 1
03.03.2020 17:21:35: 5h 21min | Donnie Turbo(76561198041233395) | Heal - civ_2(76561198264871362)
03.03.2020 17:37:26: 5h 37min | Donnie Turbo(76561198041233395) | unlocked - [Chevrolet_Advance_1953]
03.03.2020 17:37:33: 5h 37min | Donnie Turbo(76561198041233395) | locked - [Chevrolet_Advance_1953]
03.03.2020 17:55:41: 5h 55min | Donnie Turbo(76561198041233395) | DayTime
03.03.2020 18:06:54: 6h 6min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
03.03.2020 18:06:55: 6h 6min | Donnie Turbo(76561198041233395) | noRecoil - 1
03.03.2020 18:08:19: 6h 8min | Donnie Turbo(76561198041233395) | Heal - civ_3(76561198041233395)
03.03.2020 18:10:36: 6h 10min | Donnie Turbo(76561198041233395) | spawning HEMTT (B_Truck_01_mover_F)
03.03.2020 18:12:12: 6h 11min | Donnie Turbo(76561198041233395) | spawning S-750 Rhea (O_SAM_System_04_F)
03.03.2020 18:12:28: 6h 12min | Donnie Turbo(76561198041233395) | Deleting O_SAM_System_04_F @035999..
03.03.2020 18:13:04: 6h 12min | Donnie Turbo(76561198041233395) | spawning S-750 Rhea (O_SAM_System_04_F)
03.03.2020 18:14:47: 6h 14min | Donnie Turbo(76561198041233395) | Deleting B_Truck_01_mover_F @035999..
03.03.2020 18:15:17: 6h 14min | Donnie Turbo(76561198041233395) | spawning HEMTT (B_Truck_01_mover_F)
03.03.2020 18:15:33: 6h 15min | Donnie Turbo(76561198041233395) | Deleting B_Truck_01_mover_F @034999..
03.03.2020 18:18:10: 6h 17min | Donnie Turbo(76561198041233395) | spawning HEMTT Flatbed (B_Truck_01_flatbed_F)
03.03.2020 18:18:22: 6h 18min | Donnie Turbo(76561198041233395) | Deleting B_Truck_01_flatbed_F @034999..
03.03.2020 18:18:25: 6h 18min | Donnie Turbo(76561198041233395) | Deleting O_SAM_System_04_F @035999..
03.03.2020 18:19:29: 6h 19min | Nino Marino(76561198206026112) | Teleport to [5048.06,4418.69,0](GPS: 050013)
03.03.2020 18:19:34: 6h 19min | Donnie Turbo(76561198041233395) | spawning S-750 Rhea (O_SAM_System_04_F)
03.03.2020 18:19:37: 6h 19min | Donnie Turbo(76561198041233395) | spawning MIM-145 Defender (B_SAM_System_03_F)
03.03.2020 18:19:43: 6h 19min | Donnie Turbo(76561198041233395) | Deleting O_SAM_System_04_F @035999..
03.03.2020 18:19:48: 6h 19min | Donnie Turbo(76561198041233395) | Deleting B_SAM_System_03_F @035999..
03.03.2020 18:22:39: 6h 22min | Donnie Turbo(76561198041233395) | spawning S-750 Rhea (O_SAM_System_04_F)
03.03.2020 18:22:42: 6h 22min | Donnie Turbo(76561198041233395) | spawning MIM-145 Defender (B_SAM_System_03_F)
03.03.2020 18:22:49: 6h 22min | Donnie Turbo(76561198041233395) | Deleting O_SAM_System_04_F @034999..
03.03.2020 18:23:49: 6h 23min | Donnie Turbo(76561198041233395) | spawning HEMTT (B_T_Truck_01_mover_F)
03.03.2020 18:26:50: 6h 26min | Donnie Turbo(76561198041233395) | Teleport to [3459.16,2969.85,0](GPS: 034998)
03.03.2020 18:27:32: 6h 27min | Donnie Turbo(76561198041233395) | Deleting B_SAM_System_03_F @034999..
03.03.2020 18:29:35: 6h 29min | Donnie Turbo(76561198041233395) | spawning HEMTT (B_Truck_01_mover_F)
03.03.2020 18:36:55: 6h 36min | Donnie Turbo(76561198041233395) | spawning MIM-145 Defender (I_E_SAM_System_03_F)
03.03.2020 18:39:11: 6h 38min | Donnie Turbo(76561198041233395) | Heal - civ_3(76561198041233395)
03.03.2020 18:40:04: 6h 39min | Donnie Turbo(76561198041233395) | Deleting B_Truck_01_mover_F @034999..
03.03.2020 18:42:01: 6h 41min | Donnie Turbo(76561198041233395) | spawning Datsun Fairlady Z432 (Jonzie_Datsun_Z432)
03.03.2020 18:42:13: 6h 41min | Donnie Turbo(76561198041233395) | Deleting Jonzie_Datsun_Z432 @034999..
03.03.2020 18:42:33: 6h 42min | Donnie Turbo(76561198041233395) | Deleting I_E_SAM_System_03_F @034999..
03.03.2020 18:44:15: 6h 43min | Donnie Turbo(76561198041233395) | spawning AN/MPQ-105 Radar (B_Radar_System_01_F)
03.03.2020 18:45:47: 6h 45min | Donnie Turbo(76561198041233395) | Deleting B_Radar_System_01_F @034999..
03.03.2020 18:46:27: 6h 46min | Donnie Turbo(76561198041233395) | Deleting B_T_Truck_01_mover_F @034003..
03.03.2020 18:47:47: 6h 47min | Donnie Turbo(76561198041233395) | spawning MB 4WD (C_IDAP_Offroad_02_unarmed_F)
03.03.2020 18:48:33: 6h 48min | Donnie Turbo(76561198041233395) | Teleport to [5014.35,4424.14,0](GPS: 050013)
03.03.2020 18:48:55: 6h 48min | Donnie Turbo(76561198041233395) | Deleting C_IDAP_Offroad_02_unarmed_F @050013..
