04.03.2020 14:21:28: 2h 21min | Donnie Turbo(76561198041233395) | DayTime
04.03.2020 14:22:07: 2h 21min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
04.03.2020 14:22:11: 2h 21min | Donnie Turbo(76561198041233395) | noRecoil - 1
04.03.2020 14:24:39: 2h 24min | Donnie Turbo(76561198041233395) | Spawn Support-Box1
04.03.2020 14:25:04: 2h 24min | Donnie Turbo(76561198041233395) | Deleting Box_IND_AmmoVeh_F @037001..
04.03.2020 14:25:13: 2h 24min | Donnie Turbo(76561198041233395) | Spawn Support-Box2
04.03.2020 14:25:26: 2h 25min | Donnie Turbo(76561198041233395) | Deleting Box_IND_AmmoVeh_F @037001..
04.03.2020 14:25:47: 2h 25min | Donnie Turbo(76561198041233395) | 
04.03.2020 14:26:02: 2h 25min | Donnie Turbo(76561198041233395) | spawning 20Rnd SS198 5.7x28mm FMJ +P Mag (CSW_20Rnd_57x28_SS198)
04.03.2020 14:26:15: 2h 25min | Donnie Turbo(76561198041233395) | spawning 20Rnd L191 5.7x28mm Tracer Mag (CSW_20Rnd_57x28_L191)
04.03.2020 14:26:16: 2h 25min | Donnie Turbo(76561198041233395) | spawning 20Rnd Sb193 5.7x28mm Subsonic Mag (CSW_20Rnd_57x28_Sb193)
04.03.2020 14:26:17: 2h 25min | Donnie Turbo(76561198041233395) | spawning 20Rnd SS190 5.7x28mm Ball Mag (CSW_20Rnd_57x28_SS190)
04.03.2020 14:27:14: 2h 26min | Donnie Turbo(76561198041233395) | Give All Licenses
04.03.2020 14:27:15: 2h 26min | Donnie Turbo(76561198041233395) | Give All Licenses
04.03.2020 14:29:15: 2h 28min | Donnie Turbo(76561198041233395) | spawning Scientist Outfit (Informal, Red) (Item_U_C_Uniform_Scientist_02_formal_F)
04.03.2020 14:37:15: 2h 36min | Donnie Turbo(76561198041233395) | spawning Kozlice 12G (sgun_HunterShotgun_01_F)
04.03.2020 14:40:49: 2h 40min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
04.03.2020 14:40:50: 2h 40min | Donnie Turbo(76561198041233395) | noRecoil - 1
04.03.2020 14:42:16: 2h 41min | Donnie Turbo(76561198041233395) | Teleport to [3118.05,5078.5,0](GPS: 031020)
04.03.2020 14:47:02: 2h 46min | Donnie Turbo(76561198041233395) | spawning Sign (Risk Area) (Land_Sign_WarningUnexplodedAmmo_F)
04.03.2020 14:47:23: 2h 47min | Donnie Turbo(76561198041233395) | Deleting Land_Sign_WarningUnexplodedAmmo_F @031019..
04.03.2020 15:09:52: 3h 9min | Donnie Turbo(76561198041233395) | Teleport to [5014.04,4425.5,0](GPS: 050013)
04.03.2020 15:16:35: 3h 16min | Donnie Turbo(76561198041233395) | DayTime
04.03.2020 15:19:31: 3h 19min | Donnie Turbo(76561198041233395) | Teleport to [3514.08,4253.33,0](GPS: 035011)
04.03.2020 15:31:38: 3h 31min | Donnie Turbo(76561198041233395) | Teleport to [4915.75,3352.5,0](GPS: 049002)
04.03.2020 15:37:24: 3h 37min | Donnie Turbo(76561198041233395) | Teleport to [4695.02,3583.77,0](GPS: 046005)
04.03.2020 15:42:11: 3h 41min | Donnie Turbo(76561198041233395) | Teleport to [4728.19,3505.58,0](GPS: 047004)
