05.02.2020 00:00:57: 0h 15min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Jinaah AL-6 (Medical) (O_UAV_06_medical_F)
05.02.2020 00:01:14: 0h 15min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Utility Drone (Medical) (C_IDAP_UAV_06_medical_F)
05.02.2020 00:01:15: 0h 15min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Utility Drone (Medical) (C_UAV_06_medical_F)
05.02.2020 00:02:14: 0h 16min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting C_IDAP_UAV_06_medical_F @035999..
05.02.2020 00:02:19: 0h 16min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting I_E_UAV_06_medical_F @035999..
05.02.2020 00:02:22: 0h 16min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting O_UAV_06_medical_F @035999..
05.02.2020 00:02:25: 0h 16min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting B_UAV_06_medical_F @035999..
05.02.2020 00:02:57: 0h 17min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3522.04,3033.59,0](GPS: 035999)
05.02.2020 00:03:02: 0h 17min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting C_UAV_06_medical_F @035999..
05.02.2020 00:04:29: 0h 18min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting I_UAV_06_medical_F @035999..
05.02.2020 00:05:23: 0h 19min | Boyevik Butch-Mac Volkev(76561198089960350) | God Mode - 1
05.02.2020 00:06:05: 0h 20min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning AL-6 Pelican (Medical) (I_UAV_06_medical_F)
05.02.2020 00:07:19: 0h 21min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting I_UAV_06_medical_F @035999..
05.02.2020 00:15:59: 0h 30min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3674.84,503.622,0](GPS: 036974)
05.02.2020 00:16:12: 0h 30min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3521.52,3029.42,0](GPS: 035999)
05.02.2020 00:18:24: 0h 32min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting I_UAV_06_medical_F @035999..
05.02.2020 00:18:43: 0h 33min | Nino Marino(76561198206026112) | Revive - medic_1(76561198180893505)
05.02.2020 00:19:06: 0h 33min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
05.02.2020 00:20:32: 0h 34min | Donnie Turbo(76561198041233395) | Deleting I_UAV_06_medical_F @035999..
05.02.2020 00:20:36: 0h 34min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @035999..
05.02.2020 00:25:57: 0h 40min | Nino Marino(76561198206026112) | God Mode - 1
05.02.2020 00:26:53: 0h 41min | Donnie Turbo(76561198041233395) | spawning Axe (Max_axe)
05.02.2020 00:27:18: 0h 41min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
05.02.2020 00:30:14: 0h 44min | Boyevik Butch-Mac Volkev(76561198089960350) | Deleting mr.bean(76561198883479728) vehicle: d3s_q50_ER_14 @047011..
05.02.2020 00:31:02: 0h 45min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198860031547)
05.02.2020 00:32:08: 0h 46min | Boyevik Butch-Mac Volkev(76561198089960350) | Zeus mr.bean(76561198883479728) @047011
05.02.2020 00:32:08: 0h 46min | Boyevik Butch-Mac Volkev(76561198089960350) | Zeus - civ_1(76561198883479728)
05.02.2020 00:32:48: 0h 47min | Boyevik Butch-Mac Volkev(76561198089960350) | Revive - civ_1(76561198883479728)
05.02.2020 00:33:20: 0h 47min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3517.98,3031.11,0](GPS: 035999)
05.02.2020 00:33:29: 0h 47min | Boyevik Butch-Mac Volkev(76561198089960350) | SPECTATE - switchedCamera on Dan Dimmadont(76561198860031547) - C_man_1
05.02.2020 00:33:36: 0h 47min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport - Target To Me - Doug Dimmadont [CIV](76561198083728776)
05.02.2020 00:38:54: 0h 53min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @035999..
05.02.2020 00:41:13: 0h 55min | Nino Marino(76561198206026112) | God Mode - 0
05.02.2020 00:52:48: 1h 7min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 00:52:49: 1h 7min | Donnie Turbo(76561198041233395) | HealRepairNear
05.02.2020 01:18:06: 1h 32min | Nino Marino(76561198206026112) | God Mode - 1
05.02.2020 01:18:06: 1h 32min | Nino Marino(76561198206026112) | God Mode - 0
05.02.2020 01:21:35: 1h 35min | Donnie Turbo(76561198041233395) | unlocked - [d3s_FPIU_13]
05.02.2020 01:21:37: 1h 35min | Donnie Turbo(76561198041233395) | locked - [d3s_FPIU_13]
05.02.2020 01:45:24: 1h 59min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
05.02.2020 01:45:24: 1h 59min | HoyoBani(76561198105940600) | infiSTAR AI ESP - 1
05.02.2020 01:45:24: 1h 59min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
05.02.2020 01:45:24: 1h 59min | HoyoBani(76561198105940600) | God Mode - 1
05.02.2020 01:45:24: 1h 59min | HoyoBani(76561198105940600) | Teleport In Facing Direction (10m steps) - 1
05.02.2020 01:45:24: 1h 59min | HoyoBani(76561198105940600) | Vehicle God Mode - 1
05.02.2020 01:45:24: 1h 59min | HoyoBani(76561198105940600) | FastFire - 1
05.02.2020 01:45:24: 1h 59min | HoyoBani(76561198105940600) | UnlimAmmo - 1
05.02.2020 01:45:24: 1h 59min | HoyoBani(76561198105940600) | noRecoil - 1
05.02.2020 01:45:29: 1h 59min | HoyoBani(76561198105940600) | infiSTAR AI ESP - 0
05.02.2020 01:45:30: 1h 59min | HoyoBani(76561198105940600) | Vehicle God Mode - 0
05.02.2020 01:45:32: 1h 59min | HoyoBani(76561198105940600) | God Mode - 0
05.02.2020 01:45:34: 1h 59min | HoyoBani(76561198105940600) | FastFire - 0
05.02.2020 01:45:35: 1h 59min | HoyoBani(76561198105940600) | UnlimAmmo - 0
05.02.2020 01:45:36: 1h 59min | HoyoBani(76561198105940600) | Teleport In Facing Direction (10m steps) - 0
05.02.2020 01:45:48: 1h 60min | HoyoBani(76561198105940600) | Teleport to [3549.98,3132.76,0](GPS: 035000)
05.02.2020 01:46:05: 1h 60min | HoyoBani(76561198105940600) | 100K Cash
05.02.2020 01:49:12: 2h 3min | HoyoBani(76561198105940600) | HealSelf
05.02.2020 01:49:56: 2h 4min | HoyoBani(76561198105940600) | Teleport to [3615.58,3124.26,0](GPS: 036000)
05.02.2020 01:50:17: 2h 4min | HoyoBani(76561198105940600) | Teleport to [5033.88,4425.31,0](GPS: 050013)
05.02.2020 01:50:57: 2h 5min | HoyoBani(76561198105940600) | 500K Cash
