09.02.2020 22:38:51: 0h 6min | HoyoBani(76561198105940600) | infiSTAR Player ESP 1 - 1
09.02.2020 22:38:51: 0h 6min | HoyoBani(76561198105940600) | infiSTAR MapIcons - 1
09.02.2020 22:38:51: 0h 6min | HoyoBani(76561198105940600) | noRecoil - 1
09.02.2020 22:43:21: 0h 11min | HoyoBani(76561198105940600) | HealSelf
09.02.2020 22:43:40: 0h 11min | HoyoBani(76561198105940600) | HealSelf
09.02.2020 22:44:22: 0h 12min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 22:44:24: 0h 12min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 22:44:59: 0h 12min | HoyoBani(76561198105940600) | Teleport to [3655.05,3240.63,0](GPS: 036001)
09.02.2020 22:45:03: 0h 13min | HoyoBani(76561198105940600) | Teleport to [2155.64,3440.27,0](GPS: 021003)
09.02.2020 22:45:13: 0h 13min | HoyoBani(76561198105940600) | Teleport to [3120.55,5077.55,0](GPS: 031020)
09.02.2020 22:47:13: 0h 15min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 22:51:09: 0h 19min | HoyoBani(76561198105940600) | Teleport to [2156.9,3437.56,0](GPS: 021003)
09.02.2020 22:53:23: 0h 21min | HoyoBani(76561198105940600) | Teleport to [3604.69,3131.26,0](GPS: 036000)
09.02.2020 22:53:54: 0h 21min | HoyoBani(76561198105940600) | Teleport to [3746.7,3252.18,0](GPS: 037001)
09.02.2020 22:57:32: 0h 25min | HoyoBani(76561198105940600) | Teleport to [5732.25,3736.21,0](GPS: 057006)
09.02.2020 22:58:47: 0h 26min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on SEAGINATOR  :)(76561198883479728) - C_man_1
09.02.2020 22:58:55: 0h 26min | Nino Marino(76561198206026112) | Heal - civ_3(76561198883479728)
09.02.2020 22:59:12: 0h 27min | Nino Marino(76561198206026112) | Teleport to [4708.05,4179.21,0](GPS: 047011)
09.02.2020 22:59:21: 0h 27min | Nino Marino(76561198206026112) | Teleport to [4708.05,4179.21,0](GPS: 047011)
09.02.2020 22:59:55: 0h 27min | Nino Marino(76561198206026112) | Teleport to [3584.38,3200.31,0](GPS: 035001)
09.02.2020 23:00:03: 0h 28min | Nino Marino(76561198206026112) | Teleport - Target To Me - SEAGINATOR  :) [CIV](76561198883479728)
09.02.2020 23:06:58: 0h 34min | Nino Marino(76561198206026112) | Revive - civ_3(76561198883479728)
09.02.2020 23:09:06: 0h 37min | HoyoBani(76561198105940600) | Revive - civ_3(76561198883479728)
09.02.2020 23:24:52: 0h 52min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:32:37: 1h 0min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:32:41: 1h 0min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:34:35: 1h 2min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:35:13: 1h 3min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:35:32: 1h 3min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:35:38: 1h 3min | Nino Marino(76561198206026112) | AdminConsole
09.02.2020 23:35:55: 1h 3min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:36:10: 1h 4min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:36:57: 1h 4min | Nino Marino(76561198206026112) | AdminConsole
09.02.2020 23:37:09: 1h 5min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:39:16: 1h 7min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:39:34: 1h 7min | Nino Marino(76561198206026112) | AdminConsole
09.02.2020 23:39:56: 1h 7min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:39:58: 1h 7min | Nino Marino(76561198206026112) | AdminConsole
09.02.2020 23:40:09: 1h 8min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:42:05: 1h 10min | HoyoBani(76561198105940600) | Teleport to [3514.3,3079.85,0](GPS: 035000)
09.02.2020 23:42:12: 1h 10min | HoyoBani(76561198105940600) | 100K Cash
09.02.2020 23:42:24: 1h 10min | HoyoBani(76561198105940600) | Teleport to [2153.56,3438.26,0](GPS: 021003)
09.02.2020 23:43:20: 1h 11min | HoyoBani(76561198105940600) | Teleport to [3413.24,4183.9,0](GPS: 034011)
09.02.2020 23:46:21: 1h 14min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:46:53: 1h 14min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:53:35: 1h 21min | HoyoBani(76561198105940600) | AdminConsole
09.02.2020 23:54:24: 1h 22min | HoyoBani(76561198105940600) | AdminConsole
