15.02.2020 00:05:05: 17h 39min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
15.02.2020 00:05:07: 17h 39min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - I_soldier_UAV_06_medical_F
15.02.2020 00:05:07: 17h 39min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
15.02.2020 00:05:08: 17h 39min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
15.02.2020 00:05:09: 17h 39min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
15.02.2020 00:05:09: 17h 39min | Donnie Turbo(76561198041233395) | spawning Smoke Grenade (Red) (SmokeShellRed)
15.02.2020 00:05:22: 17h 39min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Alexander.Rios(76561198037915534) - d3s_huracan_18_SPD_P
15.02.2020 00:06:48: 17h 40min | Donnie Turbo(76561198041233395) | Teleport - Target To Me - Robert Kennedy [CIV](76561198083728776)
15.02.2020 00:07:00: 17h 41min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Robert Kennedy(76561198083728776) - C_man_1
15.02.2020 00:07:58: 17h 42min | Nino Marino(76561198206026112) | God Mode - 1
15.02.2020 00:17:16: 17h 51min | Donnie Turbo(76561198041233395) | locked - [d3s_fseries_17]
15.02.2020 00:19:04: 17h 53min | Donnie Turbo(76561198041233395) | unlocked - [d3s_fseries_17]
15.02.2020 00:19:40: 17h 53min | Donnie Turbo(76561198041233395) | HealRepairNear
15.02.2020 00:19:42: 17h 53min | Donnie Turbo(76561198041233395) | HealRepairNear
15.02.2020 00:22:20: 17h 56min | Donnie Turbo(76561198041233395) | Teleport to [5270.83,4277.25,0](GPS: 052012)
15.02.2020 00:23:13: 17h 57min | Donnie Turbo(76561198041233395) | Teleport to [1508.8,1352.69,0](GPS: 015982)
15.02.2020 00:25:32: 17h 59min | Donnie Turbo(76561198041233395) | Teleport to [3513.61,2805.1,0](GPS: 035997)
15.02.2020 00:27:04: 18h 1min | Donnie Turbo(76561198041233395) | locked - [d3s_fseries_17]
15.02.2020 00:30:42: 18h 4min | Donnie Turbo(76561198041233395) | Teleport to [7482.72,3696.71,0](GPS: 074006)
15.02.2020 00:35:21: 18h 9min | Donnie Turbo(76561198041233395) | Teleport - Me To Target - Alexander.Rios [CIV](76561198037915534)
15.02.2020 00:39:56: 18h 14min | Donnie Turbo(76561198041233395) | Added 23 iron_refineds to Alexander.Rios!
15.02.2020 00:40:12: 18h 14min | Donnie Turbo(76561198041233395) | Teleport to [3512.18,3019.29,0](GPS: 035999)
15.02.2020 00:50:50: 18h 24min | Nino Marino(76561198206026112) | God Mode - 0
15.02.2020 00:50:52: 18h 24min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - I_soldier_UAV_06_medical_F
15.02.2020 00:50:54: 18h 24min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Alexander.Rios(76561198037915534) - C_man_1
