17.01.2020 00:06:57: 14h 27min | Donnie Turbo(76561198041233395) | spawning HARLEY DAVIDSON KNUCKLEHEAD Brosser Gris (V12_HARLEYKNUCKLEHEAD_BrosserG)
17.01.2020 00:08:03: 14h 29min | Donnie Turbo(76561198041233395) | spawning HARLEY DAVIDSON CUSTOM BOBBER Noir Metalliser (V12_HARLEYBOBBER_noir)
17.01.2020 00:08:16: 14h 29min | Donnie Turbo(76561198041233395) | Deleting V12_HARLEYBOBBER_noir @035000..
17.01.2020 00:24:26: 14h 45min | Donnie Turbo(76561198041233395) | Deleting V12_HARLEYKNUCKLEHEAD_BrosserG @035000..
17.01.2020 00:29:39: 14h 50min | Donnie Turbo(76561198041233395) | Teleport to [1985.92,4229.83,0](GPS: 019011)
17.01.2020 00:32:09: 14h 53min | Donnie Turbo(76561198041233395) | Teleport to [5574.64,4343.87,0](GPS: 055012)
17.01.2020 00:36:35: 14h 57min | Donnie Turbo(76561198041233395) | Teleport to [1962.75,4182.5,0](GPS: 019011)
17.01.2020 00:38:13: 14h 59min | Donnie Turbo(76561198041233395) | Teleport to [1971.54,4244.63,0](GPS: 019011)
17.01.2020 00:44:10: 15h 5min | Donnie Turbo(76561198041233395) | Teleport to [5548.34,4330,0](GPS: 055012)
17.01.2020 00:44:59: 15h 5min | Donnie Turbo(76561198041233395) | spawning SDAR 5.56Â mm (arifle_SDAR_F)
17.01.2020 00:46:22: 15h 7min | Donnie Turbo(76561198041233395) | Deleting WeaponHolderSimulated @055012..
17.01.2020 00:46:37: 15h 7min | Donnie Turbo(76561198041233395) | Teleport to [6988.76,4844.18,0](GPS: 069017)
17.01.2020 00:47:25: 15h 8min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
17.01.2020 00:57:00: 15h 17min | Donnie Turbo(76561198041233395) | Teleport to [1975.77,4164.57,0](GPS: 019010)
17.01.2020 00:59:21: 15h 20min | Donnie Turbo(76561198041233395) | Teleport to [5931.02,2539,0](GPS: 059994)
17.01.2020 01:00:15: 15h 21min | Donnie Turbo(76561198041233395) | Teleport to [7069.94,4923.04,0](GPS: 070018)
17.01.2020 01:03:49: 15h 24min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
17.01.2020 01:06:45: 15h 27min | Jbo Marino[201](76561198206026112) | Deleting GroundWeaponHolder @035999..
17.01.2020 01:11:12: 15h 32min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
17.01.2020 01:12:43: 15h 33min | Donnie Turbo(76561198041233395) | Teleport to [5952.03,2590.67,0](GPS: 059995)
17.01.2020 01:13:10: 15h 34min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @059995..
17.01.2020 01:13:30: 15h 34min | Jbo Marino[201](76561198206026112) | Teleport to [5922.2,2524.53,0](GPS: 059994)
17.01.2020 01:15:46: 15h 36min | Jbo Marino[201](76561198206026112) | Teleport to [4010.25,2420.69,0](GPS: 040993)
17.01.2020 01:15:55: 15h 36min | Donnie Turbo(76561198041233395) | Teleport to [1971.29,4244.98,0](GPS: 019011)
17.01.2020 01:15:56: 15h 36min | Jbo Marino[201](76561198206026112) | Teleport to [4247.27,2380.31,0](GPS: 042993)
17.01.2020 01:16:19: 15h 37min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
17.01.2020 01:16:43: 15h 37min | Donnie Turbo(76561198041233395) | Teleport to [4011,2412.19,0](GPS: 040993)
17.01.2020 01:17:07: 15h 38min | Donnie Turbo(76561198041233395) | Teleport to [4040.39,2471.04,0](GPS: 040993)
17.01.2020 01:17:19: 15h 38min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - C_man_1
17.01.2020 01:20:01: 15h 40min | Donnie Turbo(76561198041233395) | Teleport to [3145.72,5107.48,0](GPS: 031020)
17.01.2020 01:20:09: 15h 41min | Jbo Marino[201](76561198206026112) | Teleport - Me To Target - Donnie Turbo [CIV](76561198041233395)
17.01.2020 01:20:54: 15h 41min | Jbo Marino[201](76561198206026112) | spawning XXXX Gold Stubbie (snb_4xGold)
17.01.2020 01:20:55: 15h 41min | Jbo Marino[201](76561198206026112) | spawning Carlton Draught Stubbie (CarltonDraught)
17.01.2020 01:20:57: 15h 41min | Jbo Marino[201](76561198206026112) | spawning VB Can (VBCan)
17.01.2020 01:20:59: 15h 41min | Jbo Marino[201](76561198206026112) | spawning Jim Bean Can (Jimbeam)
17.01.2020 01:21:34: 15h 42min | Jbo Marino[201](76561198206026112) | spawning Survivor Knife (Max_survivor_knife)
17.01.2020 01:30:48: 15h 51min | Jbo Marino[201](76561198206026112) | Added 3 waterBottles to Jbo Marino[201]!
17.01.2020 01:30:51: 15h 51min | Jbo Marino[201](76561198206026112) | Added 3 tbacons to Jbo Marino[201]!
17.01.2020 01:38:15: 15h 59min | Jbo Marino[201](76561198206026112) | spawning Cama desmontada (pop_cama_inv)
17.01.2020 01:38:26: 15h 59min | Jbo Marino[201](76561198206026112) | spawning Tarjeta visa oro (pop_creditcard)
17.01.2020 01:38:44: 15h 59min | Jbo Marino[201](76561198206026112) | spawning Efedrina (200g) (pop_efedrina_b)
17.01.2020 01:38:45: 15h 59min | Jbo Marino[201](76561198206026112) | spawning coca (200g) (pop_coca_b)
17.01.2020 01:38:47: 15h 59min | Jbo Marino[201](76561198206026112) | spawning opio (200g)  (pop_opio_b)
17.01.2020 01:38:48: 15h 59min | Jbo Marino[201](76561198206026112) | spawning cannabis (200g) (pop_cannabis_b)
17.01.2020 01:38:54: 15h 59min | Jbo Marino[201](76561198206026112) | spawning Metanfetamina (200g) (pop_meta_b)
17.01.2020 01:39:56: 16h 0min | Jbo Marino[201](76561198206026112) | spawning Kit Csi (pop_csi)
17.01.2020 01:39:59: 16h 0min | Jbo Marino[201](76561198206026112) | spawning Diamante (pop_diamante)
17.01.2020 01:40:05: 16h 1min | Jbo Marino[201](76561198206026112) | spawning Test de drogas (pop_drogotest)
17.01.2020 01:40:06: 16h 1min | Jbo Marino[201](76561198206026112) | spawning Metadona (pop_metadona)
17.01.2020 01:40:07: 16h 1min | Jbo Marino[201](76561198206026112) | spawning Metadona (pop_metadona)
17.01.2020 01:40:12: 16h 1min | Jbo Marino[201](76561198206026112) | spawning esposas (pop_esposas)
17.01.2020 01:40:17: 16h 1min | Jbo Marino[201](76561198206026112) | spawning Fardo de marihuana (1Kg) (pop_marihuana_f)
17.01.2020 01:40:19: 16h 1min | Jbo Marino[201](76561198206026112) | spawning Fardo de Cocaina (1Kg) (pop_cocaina_f)
17.01.2020 01:41:00: 16h 1min | Jbo Marino[201](76561198206026112) | spawning Pala (pop_pala)
17.01.2020 01:42:08: 16h 3min | Jbo Marino[201](76561198206026112) | Deleting GroundWeaponHolder @032020..
17.01.2020 01:42:16: 16h 3min | Jbo Marino[201](76561198206026112) | Teleport to [3516.14,3036.26,0](GPS: 035999)
17.01.2020 01:42:19: 16h 3min | Donnie Turbo(76561198041233395) | Teleport to [3481.16,3001.05,0](GPS: 034999)
17.01.2020 01:44:03: 16h 5min | Jbo Marino[201](76561198206026112) | Revive - civ_3(76561198041233395)
17.01.2020 01:54:05: 16h 15min | Jbo Marino[201](76561198206026112) | Deleting Donnie Turbo(76561198041233395) vehicle: C_man_1 @035999..
17.01.2020 01:54:10: 16h 15min | Jbo Marino[201](76561198206026112) | Deleting Land_Stretcher_01_F @035999..
17.01.2020 01:55:41: 16h 16min | Donnie Turbo(76561198041233395) | Revive - medic_1(76561198206026112)
17.01.2020 01:57:42: 16h 18min | Jbo Marino[201](76561198206026112) | Unrestrain - civ_2(76561198041233395)
17.01.2020 01:57:45: 16h 18min | Jbo Marino[201](76561198206026112) | Unrestrain - civ_2(76561198041233395)
17.01.2020 01:58:00: 16h 18min | Jbo Marino[201](76561198206026112) | Teleport - Target To Me - Donnie Turbo [CIV](76561198041233395)
17.01.2020 01:58:13: 16h 19min | Jbo Marino[201](76561198206026112) | Deleting Land_Stretcher_01_F @035999..
17.01.2020 02:07:11: 16h 28min | Donnie Turbo(76561198041233395) | Added 10 lockpicks to Donnie Turbo!
17.01.2020 02:17:05: 16h 38min | Donnie Turbo(76561198041233395) | Heal - civ_2(76561198041233395)
17.01.2020 02:17:12: 16h 38min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
17.01.2020 02:17:47: 16h 38min | Donnie Turbo(76561198041233395) | Revive - medic_1(76561198206026112)
17.01.2020 02:18:14: 16h 39min | Jbo Marino[201](76561198206026112) | Added 1 defibrillators to Donnie Turbo!
17.01.2020 02:18:16: 16h 39min | Jbo Marino[201](76561198206026112) | Added 1 toolkits to Donnie Turbo!
17.01.2020 02:18:27: 16h 39min | Jbo Marino[201](76561198206026112) | Added 1 cocaine_processeds to Donnie Turbo!
17.01.2020 02:18:29: 16h 39min | Jbo Marino[201](76561198206026112) | Added 1 waterBottles to Donnie Turbo!
17.01.2020 02:18:29: 16h 39min | Jbo Marino[201](76561198206026112) | Added 1 waterBottles to Donnie Turbo!
17.01.2020 02:18:34: 16h 39min | Jbo Marino[201](76561198206026112) | Added 1 tbacons to Donnie Turbo!
17.01.2020 02:18:34: 16h 39min | Jbo Marino[201](76561198206026112) | Added 1 tbacons to Donnie Turbo!
17.01.2020 02:19:29: 16h 40min | Jbo Marino[201](76561198206026112) | Deleting Land_Stretcher_01_F @035999..
17.01.2020 02:22:30: 16h 43min | Jbo Marino[201](76561198206026112) | Teleport to [3515.95,3035.59,0](GPS: 035999)
17.01.2020 02:23:27: 16h 44min | Jbo Marino[201](76561198206026112) | spawning BMW M5 Unmarked(F10)'14 GOV 2 (d3s_amazing_f10_12_UNM_GOV2)
17.01.2020 02:24:37: 16h 45min | Donnie Turbo(76561198041233395) | Heal - civ_2(76561198041233395)
