18.01.2020 00:01:13: 10h 26min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
18.01.2020 00:01:15: 10h 26min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 1
18.01.2020 00:04:47: 10h 30min | Jbo Marino[201](76561198206026112) | Teleport to [3502.87,3008.29,0](GPS: 035999)
18.01.2020 00:04:55: 10h 30min | Jbo Marino[201](76561198206026112) | Stealth / Invisible - 0
18.01.2020 00:10:57: 10h 36min | Jbo Marino[201](76561198206026112) | Teleport to [3544,3084.56,0](GPS: 035000)
18.01.2020 00:13:36: 10h 38min | Donnie Turbo(76561198041233395) | spawning Survivor Knife (Max_survivor_knife)
18.01.2020 00:14:42: 10h 39min | Donnie Turbo(76561198041233395) | Revive - civ_2(76561198883479728)
18.01.2020 00:15:51: 10h 41min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @035999..
18.01.2020 00:16:01: 10h 41min | Jbo Marino[201](76561198206026112) | God Mode - 0
18.01.2020 00:21:20: 10h 46min | Jbo Marino[201](76561198206026112) | spawning TRG-20 5.56 mm (arifle_TRG20_ACO_F)
18.01.2020 00:21:43: 10h 46min | Jbo Marino[201](76561198206026112) | Deleting WeaponHolderSimulated @035999..
18.01.2020 00:21:46: 10h 46min | Donnie Turbo(76561198041233395) | Revive - medic_3(76561198041233395)
18.01.2020 00:24:07: 10h 49min | Jbo Marino[201](76561198206026112) | Deleting GroundWeaponHolder @035999..
18.01.2020 00:26:37: 10h 51min | Jbo Marino[201](76561198206026112) | Revive - medic_1(76561198206026112)
18.01.2020 00:26:41: 10h 51min | Donnie Turbo(76561198041233395) | Revive - medic_3(76561198041233395)
18.01.2020 00:27:35: 10h 52min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198883479728)
18.01.2020 00:29:56: 10h 55min | Donnie Turbo(76561198041233395) | Revive - civ_1(76561198883479728)
18.01.2020 00:30:03: 10h 55min | Jbo Marino[201](76561198206026112) | Deleting GroundWeaponHolder @035999..
18.01.2020 00:31:48: 10h 57min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @035999..
18.01.2020 00:36:19: 11h 1min | Jbo Marino[201](76561198206026112) | HealRepairNear
18.01.2020 00:38:21: 11h 3min | Jbo Marino[201](76561198206026112) | HealRepairNear
18.01.2020 00:38:47: 11h 3min | Jbo Marino[201](76561198206026112) | SPECTATE - switchedCamera on Rogue Tjay(76561198883479728) - C_man_1
18.01.2020 00:42:59: 11h 8min | Jbo Marino[201](76561198206026112) | Added 5 heroin_processeds to Jbo Marino[201]!
18.01.2020 00:43:02: 11h 8min | Jbo Marino[201](76561198206026112) | Added 5 cocaine_processeds to Jbo Marino[201]!
