18.02.2020 01:42:52: 4h 14min | Sherman(76561198038112694) | Teleport to [3338.06,3252.23,0](GPS: 033001)
18.02.2020 01:51:19: 4h 22min | K-12 J Shepard(76561198043298972) | Teleport - Me To Target - Sherman [CIV](76561198038112694)
18.02.2020 01:51:47: 4h 22min | K-12 J Shepard(76561198043298972) | Teleport to [3318.82,3262.76,0](GPS: 033001)
18.02.2020 02:00:50: 4h 32min | Sherman(76561198038112694) | HealRepairNear
18.02.2020 02:08:20: 4h 39min | K-12 J Shepard(76561198043298972) | SPECTATE - switchedCamera on Sherman(76561198038112694) - C_man_1
18.02.2020 02:08:22: 4h 39min | K-12 J Shepard(76561198043298972) | SPECTATE - switchedCamera on Sherman(76561198038112694) - C_man_1
18.02.2020 02:08:24: 4h 39min | Sherman(76561198038112694) | Teleport to [3319.14,3239.22,0](GPS: 033001)
18.02.2020 02:09:29: 4h 40min | Sherman(76561198038112694) | HealRepairNear
18.02.2020 02:09:30: 4h 40min | K-12 J Shepard(76561198043298972) | Heal - cop_2(76561198043298972)
18.02.2020 02:10:33: 4h 41min | K-12 J Shepard(76561198043298972) | Deleting GroundWeaponHolder @033001..
18.02.2020 02:10:44: 4h 41min | K-12 J Shepard(76561198043298972) | Deleting GroundWeaponHolder @033001..
18.02.2020 02:19:55: 4h 51min | K-12 J Shepard(76561198043298972) | Teleport - Me To Target - Sherman [CIV](76561198038112694)
18.02.2020 02:21:46: 4h 52min | Sherman(76561198038112694) | Teleport to [3330.04,3215.62,0](GPS: 033001)
18.02.2020 18:23:59: 20h 55min | Sherman(76561198038112694) | Teleport to [3656.74,3239.76,0](GPS: 036001)
18.02.2020 18:24:36: 20h 55min | Sherman(76561198038112694) | Teleport to [4599.18,3851.98,0](GPS: 045007)
18.02.2020 18:24:42: 20h 55min | Sherman(76561198038112694) | Teleport to [3663.3,3316.13,0](GPS: 036002)
18.02.2020 22:27:33: 24h 58min | Donnie Turbo(76561198041233395) | Heal - civ_2(76561198041233395)
18.02.2020 22:29:57: 25h 1min | Donnie Turbo(76561198041233395) | unlocked - [d3s_charger_15_EMS]
18.02.2020 22:32:40: 25h 3min | Donnie Turbo(76561198041233395) | unlocked - [d3s_cherokee_18_JPPV]
18.02.2020 22:32:48: 25h 3min | Donnie Turbo(76561198041233395) | locked - [d3s_cherokee_18_JPPV]
18.02.2020 22:36:15: 25h 7min | Donnie Turbo(76561198041233395) | locked - [d3s_charger_15_EMS]
18.02.2020 22:37:04: 25h 8min | Donnie Turbo(76561198041233395) | Teleport to [3188.29,5149.47,0](GPS: 031020)
18.02.2020 22:40:24: 25h 11min | Donnie Turbo(76561198041233395) | Teleport to [3872.32,3237.75,0](GPS: 038001)
18.02.2020 22:40:42: 25h 11min | Donnie Turbo(76561198041233395) | unlocked - [d3s_cherokee_18_JPPV]
18.02.2020 22:43:07: 25h 14min | Donnie Turbo(76561198041233395) | unlocked - [d3s_titan_17_TAR]
18.02.2020 22:47:31: 25h 18min | Donnie Turbo(76561198041233395) | Teleport to [5339.96,2198.25,0](GPS: 053991)
18.02.2020 22:47:49: 25h 19min | Donnie Turbo(76561198041233395) | Teleport to [5523.53,2066.39,0](GPS: 055989)
18.02.2020 22:50:02: 25h 21min | Donnie Turbo(76561198041233395) | Teleport to [5542.4,2377.4,0](GPS: 055993)
18.02.2020 22:50:49: 25h 22min | Donnie Turbo(76561198041233395) | Teleport to [7269.06,2858.66,0](GPS: 072997)
18.02.2020 22:51:37: 25h 22min | Donnie Turbo(76561198041233395) | Teleport to [7058.16,2783.99,0](GPS: 070997)
18.02.2020 22:52:34: 25h 23min | Donnie Turbo(76561198041233395) | Teleport to [7283.11,2863.89,0](GPS: 072997)
18.02.2020 22:53:44: 25h 24min | Donnie Turbo(76561198041233395) | Teleport to [7327.77,3053.76,0](GPS: 073999)
18.02.2020 23:01:12: 25h 32min | Donnie Turbo(76561198041233395) | Teleport to [5233.02,2312.21,0](GPS: 052992)
18.02.2020 23:02:07: 25h 33min | Donnie Turbo(76561198041233395) | Teleport to [7281.65,2862.5,0](GPS: 072997)
18.02.2020 23:03:24: 25h 34min | Donnie Turbo(76561198041233395) | Teleport to [7566.15,4160.74,0](GPS: 075010)
18.02.2020 23:03:42: 25h 34min | Donnie Turbo(76561198041233395) | Teleport to [7284.66,4028.51,0](GPS: 072009)
18.02.2020 23:04:51: 25h 36min | Donnie Turbo(76561198041233395) | Teleport to [7357.74,3513.3,0](GPS: 073004)
18.02.2020 23:06:47: 25h 37min | Donnie Turbo(76561198041233395) | DayTime
18.02.2020 23:15:34: 25h 46min | Donnie Turbo(76561198041233395) | Teleport to [6843.71,2513.67,0](GPS: 068994)
18.02.2020 23:16:25: 25h 47min | Donnie Turbo(76561198041233395) | Teleport to [6791.88,2440.48,0](GPS: 067993)
18.02.2020 23:16:49: 25h 48min | Donnie Turbo(76561198041233395) | HealRepairNear
18.02.2020 23:16:51: 25h 48min | Donnie Turbo(76561198041233395) | HealRepairNear
18.02.2020 23:17:08: 25h 48min | Donnie Turbo(76561198041233395) | Teleport to [6802.99,2479.74,0](GPS: 068994)
18.02.2020 23:17:23: 25h 48min | Donnie Turbo(76561198041233395) | Teleport to [6801.13,2445.03,0](GPS: 068993)
18.02.2020 23:17:39: 25h 48min | Donnie Turbo(76561198041233395) | Teleport to [6787.53,2446.29,0](GPS: 067993)
18.02.2020 23:17:49: 25h 49min | Donnie Turbo(76561198041233395) | Teleport to [6787.51,2446.31,0](GPS: 067993)
