20.01.2020 00:10:33: 3h 59min | Donnie Turbo(76561198041233395) | HealRepairNear
20.01.2020 00:10:33: 3h 59min | Donnie Turbo(76561198041233395) | HealRepairNear
20.01.2020 00:13:03: 4h 1min | Donnie Turbo(76561198041233395) | HealRepairNear
20.01.2020 00:13:04: 4h 1min | Donnie Turbo(76561198041233395) | HealRepairNear
20.01.2020 00:38:26: 4h 27min | Donnie Turbo(76561198041233395) | Teleport to [4821.19,4172.55,0](GPS: 048011)
20.01.2020 00:52:40: 4h 41min | Donnie Turbo(76561198041233395) | Teleport to [3908.86,5025.22,0](GPS: 039019)
20.01.2020 01:14:33: 5h 3min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Rogue Tjay(76561198883479728) - d3s_taurus_FPI_10
20.01.2020 01:29:50: 5h 18min | Donnie Turbo(76561198041233395) | HealRepairNear
20.01.2020 01:29:54: 5h 18min | Donnie Turbo(76561198041233395) | HealRepairNear
20.01.2020 01:29:57: 5h 18min | Donnie Turbo(76561198041233395) | HealRepairNear
20.01.2020 01:30:00: 5h 18min | Donnie Turbo(76561198041233395) | HealRepairNear
20.01.2020 01:41:48: 5h 30min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @034999..
20.01.2020 01:51:21: 5h 40min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_1(76561198206026112)
20.01.2020 01:51:28: 5h 40min | Donnie Turbo(76561198041233395) | Revive - medic_3(76561198041233395)
20.01.2020 01:52:46: 5h 41min | [1k-40] Jose Santana(76561198206026112) | Revive - civ_4(76561198264871362)
20.01.2020 01:53:07: 5h 41min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on luke(76561198264871362) - C_man_1
20.01.2020 01:54:42: 5h 43min | Donnie Turbo(76561198041233395) | UnlimAmmo - 0
20.01.2020 01:54:45: 5h 43min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
20.01.2020 02:18:20: 6h 7min | Donnie Turbo(76561198041233395) | Teleport to [3740.12,3311.26,0](GPS: 037002)
20.01.2020 02:19:35: 6h 8min | Donnie Turbo(76561198041233395) | Revive - medic_1(76561198180893505)
20.01.2020 02:21:18: 6h 10min | [1k-40] Jose Santana(76561198206026112) | Added 1 defibrillators to [1k-40] Jose Santana!
20.01.2020 02:21:21: 6h 10min | [1k-40] Jose Santana(76561198206026112) | Added 1 toolkits to [1k-40] Jose Santana!
