20.02.2020 01:06:58: 1h 41min | Sherman(76561198038112694) | HealRepairNear
20.02.2020 01:24:46: 0h 7min | Sherman(76561198038112694) | Teleport to [3599.26,3295.68,0](GPS: 035002)
20.02.2020 01:25:17: 0h 7min | Sherman(76561198038112694) | HealRepairNear
20.02.2020 01:30:16: 0h 12min | Sherman(76561198038112694) | Teleport to [3636.91,3336.98,0](GPS: 036002)
20.02.2020 01:30:23: 0h 12min | Sherman(76561198038112694) | Teleport to [3656.71,3240.16,0](GPS: 036001)
20.02.2020 01:53:26: 0h 35min | Sherman(76561198038112694) | HealRepairNear
20.02.2020 01:58:37: 0h 41min | Sherman(76561198038112694) | HealRepairNear
20.02.2020 02:16:21: 0h 58min | Donnie Turbo(76561198041233395) | Teleport - Target To Me - John Anderson [CIV](76561198180893505)
20.02.2020 02:33:42: 1h 16min | Sherman(76561198038112694) | Teleport to [4754.81,4224.97,0](GPS: 047011)
20.02.2020 02:33:57: 1h 16min | Sherman(76561198038112694) | Teleport to [3847.64,3268.56,0](GPS: 038001)
20.02.2020 02:35:20: 1h 17min | Sherman(76561198038112694) | HealRepairNear
20.02.2020 02:37:49: 1h 20min | Sherman(76561198038112694) | HealRepairNear
20.02.2020 02:50:23: 1h 32min | Sherman(76561198038112694) | Deleting GroundWeaponHolder @048005..
20.02.2020 02:59:15: 1h 41min | Sherman(76561198038112694) | Teleport to [3541.8,3010.87,0](GPS: 035999)
20.02.2020 02:59:33: 1h 42min | Sherman(76561198038112694) | Teleport to [3406.47,4183.53,0](GPS: 034011)
20.02.2020 03:11:17: 1h 53min | Sherman(76561198038112694) | Added 1 cuddlesBandaids to Sherman!
20.02.2020 03:17:45: 1h 60min | Nino Marino(76561198206026112) | unlocked - [V12_KTM50CCN]
20.02.2020 03:18:14: 2h 0min | Nino Marino(76561198206026112) | locked - [V12_KTM50CCN]
20.02.2020 03:18:34: 2h 1min | Sherman(76561198038112694) | HealRepairNear
20.02.2020 03:21:45: 2h 4min | Donnie Turbo(76561198041233395) | Added 10 glasss to Donnie Turbo!
20.02.2020 03:46:27: 2h 28min | Nino Marino(76561198206026112) | Teleport to [4812.17,3408.71,0](GPS: 048003)
20.02.2020 03:46:35: 2h 29min | Nino Marino(76561198206026112) | Teleport - Target To Me - Sherman [CIV](76561198038112694)
20.02.2020 03:50:03: 2h 32min | Sherman(76561198038112694) | Teleport to [4880.48,3313.99,0](GPS: 048002)
20.02.2020 03:52:19: 2h 34min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @048002..
20.02.2020 03:52:31: 2h 34min | Nino Marino(76561198206026112) | Teleport to [3523.27,4167.77,0](GPS: 035010)
20.02.2020 03:53:34: 2h 36min | Nino Marino(76561198206026112) | Revive - civ_9(76561198206026112)
20.02.2020 03:56:12: 2h 38min | Nino Marino(76561198206026112) | Revive - medic_6(76561198354844800)
20.02.2020 04:02:17: 2h 44min | Donnie Turbo(76561198041233395) | Teleport - Target To Me - Peppe Valachi [CIV](76561198272370927)
20.02.2020 04:03:37: 2h 46min | Nino Marino(76561198206026112) | Teleport to [2860.03,4611.13,0](GPS: 028015)
20.02.2020 04:03:51: 2h 46min | Nino Marino(76561198206026112) | God Mode - 1
20.02.2020 04:03:53: 2h 46min | Nino Marino(76561198206026112) | Teleport - Target To Me - John Anderson [CIV](76561198180893505)
20.02.2020 04:04:01: 2h 46min | Nino Marino(76561198206026112) | Teleport to [3429.26,4220.73,0](GPS: 034011)
20.02.2020 04:04:22: 2h 46min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on John Anderson(76561198180893505) - C_man_1
20.02.2020 04:04:32: 2h 46min | Nino Marino(76561198206026112) | Parachute Target - John Anderson [CIV](76561198180893505)
20.02.2020 04:06:38: 2h 49min | Nino Marino(76561198206026112) | God Mode - 0
20.02.2020 04:07:03: 2h 49min | Nino Marino(76561198206026112) | Exploding John Anderson(76561198180893505) @034014
20.02.2020 04:07:03: 2h 49min | Nino Marino(76561198206026112) | Explode - civ_3(76561198180893505)
20.02.2020 04:07:11: 2h 49min | Nino Marino(76561198206026112) | Revive - civ_3()
20.02.2020 04:07:22: 2h 49min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on John Anderson(76561198180893505) - C_man_1
20.02.2020 04:07:24: 2h 49min | Nino Marino(76561198206026112) | Revive - civ_3(76561198180893505)
20.02.2020 04:07:44: 2h 50min | Nino Marino(76561198206026112) | Teleport - Target To Me - John Anderson [CIV](76561198180893505)
20.02.2020 04:07:54: 2h 50min | Nino Marino(76561198206026112) | Revive - civ_3(76561198180893505)
20.02.2020 04:08:05: 2h 50min | Nino Marino(76561198206026112) | Revive - civ_3(76561198180893505)
20.02.2020 04:08:09: 2h 50min | Nino Marino(76561198206026112) | Teleport - Target To Me - John Anderson [CIV](76561198180893505)
20.02.2020 04:08:11: 2h 50min | Donnie Turbo(76561198041233395) | spawning IMI Desert Eagle 12.7Ã—33mm AE (CSW_Desert_Eagle)
20.02.2020 04:11:12: 2h 53min | Nino Marino(76561198206026112) | unlocked - [V12_KTM50CCN]
20.02.2020 04:23:13: 3h 5min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198272370927)
20.02.2020 04:25:29: 3h 7min | Donnie Turbo(76561198041233395) | Revive - civ_3(76561198180893505)
20.02.2020 04:29:24: 3h 11min | Donnie Turbo(76561198041233395) | FastFire - 1
20.02.2020 04:29:28: 3h 11min | Donnie Turbo(76561198041233395) | UnlimAmmo - 1
20.02.2020 04:29:30: 3h 11min | Donnie Turbo(76561198041233395) | noRecoil - 1
20.02.2020 04:30:01: 3h 12min | Donnie Turbo(76561198041233395) | FastFire - 0
20.02.2020 04:30:02: 3h 12min | Donnie Turbo(76561198041233395) | UnlimAmmo - 0
20.02.2020 04:30:03: 3h 12min | Donnie Turbo(76561198041233395) | noRecoil - 0
20.02.2020 04:30:25: 3h 12min | Donnie Turbo(76561198041233395) | HealRepairNear
20.02.2020 04:30:25: 3h 12min | Donnie Turbo(76561198041233395) | HealRepairNear
20.02.2020 04:30:53: 3h 13min | Donnie Turbo(76561198041233395) | unlocked - [d3s_eldorado_76]
20.02.2020 04:30:56: 3h 13min | Donnie Turbo(76561198041233395) | locked - [d3s_eldorado_76]
