24.01.2020 00:00:36: 26h 21min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 00:01:09: 26h 21min | Donnie Turbo(76561198041233395) | Revive - cop_1(76561198206026112)
24.01.2020 00:01:32: 26h 22min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 00:01:36: 26h 22min | Donnie Turbo(76561198041233395) | HealRepairNear
24.01.2020 00:01:37: 26h 22min | Donnie Turbo(76561198041233395) | HealRepairNear
24.01.2020 00:02:54: 26h 23min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
24.01.2020 00:02:55: 26h 23min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
24.01.2020 00:04:08: 26h 24min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
24.01.2020 00:04:08: 26h 24min | [1k-40] Jose Santana(76561198206026112) | HealRepairNear
24.01.2020 00:06:39: 26h 27min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 00:06:41: 26h 27min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 00:06:51: 26h 27min | Donnie Turbo(76561198041233395) | Unrestrain - civ_5(76561198041233395)
24.01.2020 00:07:42: 26h 28min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 00:07:49: 26h 28min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 00:10:19: 26h 30min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198041233395)
24.01.2020 00:11:14: 26h 31min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 00:11:19: 26h 31min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 00:15:57: 26h 36min | [1k-40] Jose Santana(76561198206026112) | Heal - cop_1(76561198206026112)
24.01.2020 00:16:21: 26h 36min | [1k-40] Jose Santana(76561198206026112) | Added 3 heroin_processeds to [1k-40] Jose Santana!
24.01.2020 00:16:26: 26h 37min | [1k-40] Jose Santana(76561198206026112) | Added 3 cocaine_processeds to [1k-40] Jose Santana!
24.01.2020 00:17:19: 26h 37min | Donnie Turbo(76561198041233395) | Revive - civ_5(76561198041233395)
24.01.2020 00:17:31: 26h 38min | [1k-40] Jose Santana(76561198206026112) | Revive - cop_1(76561198206026112)
24.01.2020 00:18:38: 26h 39min | [1k-40] Jose Santana(76561198206026112) | Teleport to [3870.46,3199.88,0](GPS: 038001)
24.01.2020 00:18:56: 26h 39min | [1k-40] Jose Santana(76561198206026112) | God Mode - 1
24.01.2020 00:23:40: 26h 44min | Donnie Turbo(76561198041233395) | Teleport to [3186.02,5124.01,0](GPS: 031020)
24.01.2020 00:26:32: 26h 47min | Donnie Turbo(76561198041233395) | Teleport to [5024.73,4418.15,0](GPS: 050013)
24.01.2020 00:28:19: 26h 48min | Donnie Turbo(76561198041233395) | Teleport to [3724.47,3280.04,0](GPS: 037002)
24.01.2020 00:45:52: 27h 6min | Donnie Turbo(76561198041233395) | Teleport to [3614.63,3128.13,0](GPS: 036000)
24.01.2020 00:46:58: 27h 7min | Donnie Turbo(76561198041233395) | Teleport to [1564.54,3847,0](GPS: 015007)
24.01.2020 00:48:19: 27h 8min | Donnie Turbo(76561198041233395) | Teleport to [3398.06,4187.04,0](GPS: 033011)
24.01.2020 01:04:23: 27h 24min | Donnie Turbo(76561198041233395) | Eject - [1k-40] Jose Santana [WEST](76561198206026112)
24.01.2020 01:04:38: 27h 25min | Donnie Turbo(76561198041233395) | Restrain - cop_1(76561198206026112)
24.01.2020 01:05:52: 27h 26min | Donnie Turbo(76561198041233395) | Added 3 zipties to Donnie Turbo!
24.01.2020 01:06:00: 27h 26min | Donnie Turbo(76561198041233395) | Added 3 lockpicks to Donnie Turbo!
24.01.2020 01:06:18: 27h 26min | Donnie Turbo(76561198041233395) | Added 3 lsds to Donnie Turbo!
24.01.2020 01:07:04: 27h 27min | Donnie Turbo(76561198041233395) | Unrestrain - cop_1(76561198206026112)
24.01.2020 01:09:59: 27h 30min | [1k-40] Jose Santana(76561198206026112) | God Mode - 0
24.01.2020 01:13:21: 27h 33min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 01:13:26: 27h 34min | Donnie Turbo(76561198041233395) | HealSelf
24.01.2020 01:15:41: 27h 36min | [1k-40] Jose Santana(76561198206026112) | Deleting GroundWeaponHolder @038001..
