30.01.2020 00:12:14: 1h 2min | Nino Marino(76561198206026112) | 500K Cash
30.01.2020 00:21:54: 1h 11min | Nino Marino(76561198206026112) | Teleport to [4831.11,2540.43,0](GPS: 048994)
30.01.2020 00:30:35: 1h 20min | Nino Marino(76561198206026112) | HealRepairNear
30.01.2020 00:30:36: 1h 20min | Nino Marino(76561198206026112) | HealRepairNear
30.01.2020 00:39:06: 1h 29min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 00:49:04: 1h 39min | Nino Marino(76561198206026112) | SPECTATE - switchedCamera on Eriden Parker(76561198054085448) - C_man_1
30.01.2020 00:49:22: 1h 39min | Nino Marino(76561198206026112) | Heal - civ_1(76561198054085448)
30.01.2020 00:49:25: 1h 39min | Nino Marino(76561198206026112) | Teleport - Me To Target - Eriden Parker [CIV](76561198054085448)
30.01.2020 00:50:13: 1h 40min | Nino Marino(76561198206026112) | Heal - civ_2(76561198206026112)
30.01.2020 00:50:51: 1h 40min | Nino Marino(76561198206026112) | Teleport to [3504.44,4164.81,0](GPS: 035010)
30.01.2020 00:53:34: 1h 43min | Nino Marino(76561198206026112) | Added 1 etablis to Nino Marino!
30.01.2020 00:53:56: 1h 43min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 00:55:45: 1h 45min | Nino Marino(76561198206026112) | God Mode - 1
30.01.2020 01:01:18: 1h 51min | Nino Marino(76561198206026112) | Teleport - Target To Me - AL "BIG AL" GAMBINO [CIV](76561198361509989)
30.01.2020 01:07:18: 1h 57min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @033011..
30.01.2020 01:10:35: 2h 0min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @033011..
30.01.2020 01:13:57: 2h 4min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @034010..
30.01.2020 01:14:16: 2h 4min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @033011..
30.01.2020 01:16:46: 2h 6min | Nino Marino(76561198206026112) | Added 20 cocaine_processeds to Nino Marino!
30.01.2020 01:18:14: 2h 8min | Nino Marino(76561198206026112) | Added 10 cocaine_processeds to Nino Marino!
30.01.2020 01:27:22: 2h 17min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport In Facing Direction (10m steps) - 1
30.01.2020 01:27:35: 2h 17min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 1
30.01.2020 01:28:04: 2h 18min | Boyevik Butch-Mac Volkev(76561198089960350) | HealRepairNear
30.01.2020 01:28:07: 2h 18min | Wyclef(76561198038112694) | Added 5 lockpicks to Wyclef!
30.01.2020 01:32:09: 2h 22min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3931.16,3609.91,0](GPS: 039005)
30.01.2020 01:32:20: 2h 22min | Wyclef(76561198038112694) | Teleport to [3926.93,3612.01,0](GPS: 039005)
30.01.2020 01:32:27: 2h 22min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport to [3665.3,3248.01,0](GPS: 036001)
30.01.2020 01:32:31: 2h 22min | Wyclef(76561198038112694) | Teleport to [3681.12,3269.8,0](GPS: 036001)
30.01.2020 01:32:56: 2h 23min | Wyclef(76561198038112694) | Teleport to [3935.87,3607.36,0](GPS: 039005)
30.01.2020 01:33:36: 2h 23min | Boyevik Butch-Mac Volkev(76561198089960350) | HealRepairNear
30.01.2020 01:38:01: 2h 28min | Boyevik Butch-Mac Volkev(76561198089960350) | Teleport - Target To Me - Javier Escuella [CIV](76561198370210333)
30.01.2020 01:40:35: 2h 30min | Wyclef(76561198038112694) | Deleting GroundWeaponHolder @031019..
30.01.2020 01:46:21: 2h 36min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 01:46:29: 2h 36min | Wyclef(76561198038112694) | HealRepairNear
30.01.2020 01:51:09: 2h 41min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [3907.52,3635.79,0](GPS: 039005)
30.01.2020 01:53:00: 2h 43min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [3135.22,5068.79,0](GPS: 031019)
30.01.2020 01:53:13: 2h 43min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Deleting GroundWeaponHolder @031019..
30.01.2020 01:53:26: 2h 43min | H̩ctor "Lil Loco" Arturo(76561197999316388) | 50K Cash
30.01.2020 01:53:59: 2h 44min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - d3s_h1_06
30.01.2020 01:54:05: 2h 44min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on H̩ctor "Lil Loco" Arturo(76561197999316388) - C_man_1
30.01.2020 01:54:17: 2h 44min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - d3s_h1_06
30.01.2020 01:54:26: 2h 44min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on John Anderson(76561198180893505) - C_man_1
30.01.2020 01:54:31: 2h 44min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Wyclef(76561198038112694) - d3s_eldorado_76
30.01.2020 01:54:32: 2h 44min | [1k-40] Jose Santana(76561198206026112) | SPECTATE - switchedCamera on Wyclef(76561198038112694) - d3s_eldorado_76
30.01.2020 01:54:50: 2h 44min | H̩ctor "Lil Loco" Arturo(76561197999316388) | 750K Cash
30.01.2020 01:54:51: 2h 44min | H̩ctor "Lil Loco" Arturo(76561197999316388) | 250K Cash
30.01.2020 01:55:05: 2h 45min | H̩ctor "Lil Loco" Arturo(76561197999316388) | unlocked - [d3s_insurgent_gtaV]
30.01.2020 01:55:12: 2h 45min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [6126.38,3013.46,0](GPS: 061999)
30.01.2020 01:56:24: 2h 46min | Wyclef(76561198038112694) | Teleport to [6728.44,2474.15,0](GPS: 067994)
30.01.2020 01:56:36: 2h 46min | Wyclef(76561198038112694) | Teleport to [6797.57,2478.6,0](GPS: 067994)
30.01.2020 01:57:27: 2h 47min | Boyevik Butch-Mac Volkev(76561198089960350) | infiSTAR MapIcons - 0
30.01.2020 02:04:37: 2h 54min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Stealth / Invisible - 1
30.01.2020 02:04:42: 2h 54min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Revive - civ_2(76561197999316388)
30.01.2020 02:04:43: 2h 54min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [5962.49,3010.62,0](GPS: 059999)
30.01.2020 02:05:11: 2h 55min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [6854.26,2541.41,0](GPS: 068994)
30.01.2020 02:05:40: 2h 55min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [5431.14,4350.36,0](GPS: 054012)
30.01.2020 02:06:39: 2h 56min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Stealth / Invisible - 0
30.01.2020 02:07:32: 2h 57min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Stealth / Invisible - 1
30.01.2020 02:07:36: 2h 57min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [6812.6,2473.34,0](GPS: 068994)
30.01.2020 02:07:41: 2h 57min | Boyevik Butch-Mac Volkev(76561198089960350) | unlocked - [d3s_insurgent_gtaV]
30.01.2020 02:07:44: 2h 57min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Vehicle God Mode - 1
30.01.2020 02:07:45: 2h 57min | H̩ctor "Lil Loco" Arturo(76561197999316388) | God Mode - 1
30.01.2020 02:07:45: 2h 57min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Vehicle God Mode - 0
30.01.2020 02:08:23: 2h 58min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [6878.01,2570.1,0](GPS: 068994)
30.01.2020 02:08:36: 2h 58min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [6928.5,2471.87,0](GPS: 069993)
30.01.2020 02:08:40: 2h 58min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport to [6697.04,2463.58,0](GPS: 066993)
30.01.2020 02:14:24: 3h 4min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Revive - cop_3(76561198860031547)
30.01.2020 02:14:27: 3h 4min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport - Target To Me - Rick Cheney [WEST](76561198860031547)
30.01.2020 02:14:33: 3h 4min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Revive - cop_1(76561198054085448)
30.01.2020 02:14:38: 3h 4min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Teleport - Target To Me - Eriden Parker [WEST](76561198054085448)
30.01.2020 02:14:57: 3h 5min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Revive - cop_4(76561198206026112)
30.01.2020 02:15:01: 3h 5min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Revive - cop_2(76561198883479728)
30.01.2020 02:15:14: 3h 5min | H̩ctor "Lil Loco" Arturo(76561197999316388) | infiSTAR MapIcons - 1
30.01.2020 02:15:53: 3h 5min | Wyclef(76561198038112694) | Teleport to [2343.71,3450.73,0](GPS: 023003)
30.01.2020 02:16:35: 3h 6min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Stealth / Invisible - 0
30.01.2020 02:18:31: 3h 8min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on [1K-33] R. Tjay(76561198883479728) - B_RangeMaster_F
30.01.2020 02:18:45: 3h 8min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Parachute Target - [1K-33] R. Tjay [WEST](76561198883479728)
30.01.2020 02:20:00: 3h 10min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Vehicle Marker - 1
30.01.2020 02:20:29: 3h 10min | Wyclef(76561198038112694) | Revive - civ_7(76561198089960350)
30.01.2020 02:20:29: 3h 10min | H̩ctor "Lil Loco" Arturo(76561197999316388) | Revive - civ_7(76561198089960350)
